county,fips,candidate,state,votes
Langlade County,55067,Donald Trump,WI,6478
Langlade County,55067,Hillary Clinton,WI,3250
Langlade County,55067,Gary Johnson,WI,278
Langlade County,55067,Jill Stein,WI,68
Langlade County,55067,Darrell Castle,WI,41
Langlade County,55067,Monica Moorehead,WI,5
Langlade County,55067,Rocky De La Fuente,WI,4
Hart County,13147,Donald Trump,GA,7286
Hart County,13147,Hillary Clinton,GA,2585
Hart County,13147,Gary Johnson,GA,209
Yazoo County,28163,Hillary Clinton,MS,5369
Yazoo County,28163,Donald Trump,MS,4598
Yazoo County,28163,Gary Johnson,MS,47
Yazoo County,28163,Darrell Castle,MS,33
Yazoo County,28163,Jim Hedges,MS,11
Yazoo County,28163,Rocky De La Fuente,MS,6
Yazoo County,28163,Jill Stein,MS,6
Adams County,55001,Donald Trump,WI,5966
Adams County,55001,Hillary Clinton,WI,3745
Adams County,55001,Gary Johnson,WI,216
Adams County,55001,Jill Stein,WI,79
Adams County,55001,Darrell Castle,WI,45
Adams County,55001,Monica Moorehead,WI,8
Adams County,55001,Rocky De La Fuente,WI,4
Scott County,51169,Donald Trump,VA,8247
Scott County,51169,Hillary Clinton,VA,1581
Scott County,51169,Gary Johnson,VA,142
Scott County,51169,Evan McMullin,VA,53
Scott County,51169,Jill Stein,VA,39
Audrain County,29007,Donald Trump,MO,6981
Audrain County,29007,Hillary Clinton,MO,2570
Audrain County,29007,Gary Johnson,MO,363
Audrain County,29007,Jill Stein,MO,73
Audrain County,29007,Darrell Castle,MO,59
Malheur County,41045,Donald Trump,OR,7194
Malheur County,41045,Hillary Clinton,OR,2246
Malheur County,41045,Gary Johnson,OR,427
Malheur County,41045,Jill Stein,OR,177
East Feliciana Parish,22037,Donald Trump,LA,5569
East Feliciana Parish,22037,Hillary Clinton,LA,4235
East Feliciana Parish,22037,Gary Johnson,LA,102
East Feliciana Parish,22037,Evan McMullin,LA,40
East Feliciana Parish,22037,Jill Stein,LA,38
East Feliciana Parish,22037,Darrell Castle,LA,19
East Feliciana Parish,22037,Chris Keniston,LA,12
East Feliciana Parish,22037,Tom Hoefling,LA,10
East Feliciana Parish,22037,Laurence Kotlikoff,LA,7
East Feliciana Parish,22037,Princess Jacob,LA,5
East Feliciana Parish,22037,Jerry White,LA,3
East Feliciana Parish,22037,Alyson Kennedy,LA,1
East Feliciana Parish,22037,Gloria La Riva,LA,1
McNairy County,47109,Donald Trump,TN,7841
McNairy County,47109,Hillary Clinton,TN,1848
McNairy County,47109,Gary Johnson,TN,150
McNairy County,47109,Jill Stein,TN,110
McNairy County,47109,Mike Smith,TN,62
McNairy County,47109,Alyson Kennedy,TN,20
McNairy County,47109,Rocky De La Fuente,TN,7
Jones County,19105,Donald Trump,IA,5720
Jones County,19105,Hillary Clinton,IA,3787
Jones County,19105,Gary Johnson,IA,305
Jones County,19105,Jill Stein,IA,62
Jones County,19105,Evan McMullin,IA,50
Jones County,19105,Darrell Castle,IA,40
Jones County,19105,Dan Vacek,IA,32
Jones County,19105,Lynn Kahn,IA,25
Jones County,19105,Gloria La Riva,IA,2
Jones County,19105,Rocky De La Fuente,IA,1
White County,18181,Donald Trump,IN,6893
White County,18181,Hillary Clinton,IN,2590
White County,18181,Gary Johnson,IN,530
Clay County,28025,Hillary Clinton,MS,5722
Clay County,28025,Donald Trump,MS,4150
Clay County,28025,Gary Johnson,MS,69
Clay County,28025,Darrell Castle,MS,25
Clay County,28025,Jill Stein,MS,20
Clay County,28025,Jim Hedges,MS,9
Clay County,28025,Rocky De La Fuente,MS,8
Meigs County,39105,Donald Trump,OH,7309
Meigs County,39105,Hillary Clinton,OH,2260
Meigs County,39105,Gary Johnson,OH,280
Meigs County,39105,Jill Stein,OH,66
Meigs County,39105,Richard Duncan,OH,63
Stutsman County,38093,Donald Trump,ND,6718
Stutsman County,38093,Hillary Clinton,ND,2498
Stutsman County,38093,Gary Johnson,ND,574
Stutsman County,38093,Jill Stein,ND,109
Stutsman County,38093,Darrell Castle,ND,55
Stutsman County,38093,Rocky De La Fuente,ND,13
Spencer County,18147,Donald Trump,IN,6572
Spencer County,18147,Hillary Clinton,IN,2861
Spencer County,18147,Gary Johnson,IN,526
Yates County,36123,Donald Trump,NY,5660
Yates County,36123,Hillary Clinton,NY,3659
Yates County,36123,Gary Johnson,NY,494
Yates County,36123,Jill Stein,NY,146
Hardin County,47071,Donald Trump,TN,8012
Hardin County,47071,Hillary Clinton,TN,1622
Hardin County,47071,Gary Johnson,TN,134
Hardin County,47071,Jill Stein,TN,96
Hardin County,47071,Mike Smith,TN,48
Hardin County,47071,Alyson Kennedy,TN,22
Hardin County,47071,Rocky De La Fuente,TN,15
Ouachita County,5103,Donald Trump,AR,5351
Ouachita County,5103,Hillary Clinton,AR,4321
Ouachita County,5103,Gary Johnson,AR,97
Ouachita County,5103,Evan McMullin,AR,48
Ouachita County,5103,Jim Hedges,AR,40
Ouachita County,5103,Lynn Kahn,AR,34
Ouachita County,5103,Jill Stein,AR,24
Ouachita County,5103,Darrell Castle,AR,20
Crawford County,29055,Donald Trump,MO,7724
Crawford County,29055,Hillary Clinton,MO,1824
Crawford County,29055,Gary Johnson,MO,224
Crawford County,29055,Jill Stein,MO,91
Crawford County,29055,Darrell Castle,MO,57
Gage County,31067,Donald Trump,NE,6380
Gage County,31067,Hillary Clinton,NE,2935
Gage County,31067,Gary Johnson,NE,492
Gage County,31067,Jill Stein,NE,104
George County,28039,Donald Trump,MS,8696
George County,28039,Hillary Clinton,MS,1027
George County,28039,Gary Johnson,MS,91
George County,28039,Darrell Castle,MS,44
George County,28039,Jill Stein,MS,20
George County,28039,Jim Hedges,MS,7
George County,28039,Rocky De La Fuente,MS,6
Kent County,24029,Donald Trump,MD,4876
Kent County,24029,Hillary Clinton,MD,4575
Kent County,24029,Gary Johnson,MD,312
Kent County,24029,Jill Stein,MD,116
Prentiss County,28117,Donald Trump,MS,7648
Prentiss County,28117,Hillary Clinton,MS,2067
Prentiss County,28117,Gary Johnson,MS,79
Prentiss County,28117,Darrell Castle,MS,33
Prentiss County,28117,Jill Stein,MS,25
Prentiss County,28117,Jim Hedges,MS,11
Prentiss County,28117,Rocky De La Fuente,MS,9
Fayette County,19065,Donald Trump,IA,5620
Fayette County,19065,Hillary Clinton,IA,3689
Fayette County,19065,Gary Johnson,IA,328
Fayette County,19065,Evan McMullin,IA,65
Fayette County,19065,Jill Stein,IA,62
Fayette County,19065,Darrell Castle,IA,43
Fayette County,19065,Dan Vacek,IA,35
Fayette County,19065,Lynn Kahn,IA,24
Fayette County,19065,Rocky De La Fuente,IA,4
Fayette County,19065,Gloria La Riva,IA,1
Henry County,29083,Donald Trump,MO,7075
Henry County,29083,Hillary Clinton,MO,2357
Henry County,29083,Gary Johnson,MO,311
Henry County,29083,Jill Stein,MO,61
Henry County,29083,Darrell Castle,MO,55
Yancey County,37199,Donald Trump,NC,6385
Yancey County,37199,Hillary Clinton,NC,3196
Yancey County,37199,Gary Johnson,NC,261
Northampton County,37131,Hillary Clinton,NC,6144
Northampton County,37131,Donald Trump,NC,3582
Northampton County,37131,Gary Johnson,NC,93
White County,47185,Donald Trump,TN,7671
White County,47185,Hillary Clinton,TN,1845
White County,47185,Gary Johnson,TN,149
White County,47185,Jill Stein,TN,45
White County,47185,Mike Smith,TN,39
White County,47185,Rocky De La Fuente,TN,22
White County,47185,Alyson Kennedy,TN,22
Somerset County,24039,Donald Trump,MD,5341
Somerset County,24039,Hillary Clinton,MD,4196
Somerset County,24039,Gary Johnson,MD,190
Somerset County,24039,Jill Stein,MD,64
Sabine Parish,22085,Donald Trump,LA,7879
Sabine Parish,22085,Hillary Clinton,LA,1703
Sabine Parish,22085,Gary Johnson,LA,97
Sabine Parish,22085,Evan McMullin,LA,25
Sabine Parish,22085,Jill Stein,LA,24
Sabine Parish,22085,Chris Keniston,LA,19
Sabine Parish,22085,Darrell Castle,LA,18
Sabine Parish,22085,Laurence Kotlikoff,LA,8
Sabine Parish,22085,Tom Hoefling,LA,7
Sabine Parish,22085,Princess Jacob,LA,2
Sabine Parish,22085,Alyson Kennedy,LA,2
Sabine Parish,22085,Gloria La Riva,LA,2
Sabine Parish,22085,Jerry White,LA,1
Perry County,17145,Donald Trump,IL,6855
Perry County,17145,Hillary Clinton,IL,2462
Perry County,17145,Gary Johnson,IL,347
Perry County,17145,Jill Stein,IL,113
Warren County,37185,Hillary Clinton,NC,6413
Warren County,37185,Donald Trump,NC,3214
Warren County,37185,Gary Johnson,NC,146
Stephens County,13257,Donald Trump,GA,7686
Stephens County,13257,Hillary Clinton,GA,1837
Stephens County,13257,Gary Johnson,GA,243
Poweshiek County,19157,Donald Trump,IA,4946
Poweshiek County,19157,Hillary Clinton,IA,4304
Poweshiek County,19157,Gary Johnson,IA,283
Poweshiek County,19157,Jill Stein,IA,73
Poweshiek County,19157,Evan McMullin,IA,46
Poweshiek County,19157,Darrell Castle,IA,44
Poweshiek County,19157,Dan Vacek,IA,20
Poweshiek County,19157,Lynn Kahn,IA,11
Poweshiek County,19157,Gloria La Riva,IA,8
Poweshiek County,19157,Rocky De La Fuente,IA,3
Itawamba County,28057,Donald Trump,MS,8470
Itawamba County,28057,Hillary Clinton,MS,1117
Itawamba County,28057,Gary Johnson,MS,84
Itawamba County,28057,Darrell Castle,MS,36
Itawamba County,28057,Jill Stein,MS,20
Itawamba County,28057,Rocky De La Fuente,MS,5
Itawamba County,28057,Jim Hedges,MS,5
Asotin County,53003,Donald Trump,WA,5741
Asotin County,53003,Hillary Clinton,WA,3134
Asotin County,53003,Gary Johnson,WA,624
Asotin County,53003,Jill Stein,WA,117
Asotin County,53003,Darrell Castle,WA,98
Asotin County,53003,Alyson Kennedy,WA,16
Asotin County,53003,Gloria La Riva,WA,6
Logan County,8075,Donald Trump,CO,7282
Logan County,8075,Hillary Clinton,CO,1851
Logan County,8075,Gary Johnson,CO,319
Logan County,8075,Darrell Castle,CO,73
Logan County,8075,Evan McMullin,CO,67
Logan County,8075,Jill Stein,CO,65
Logan County,8075,Chris Keniston,CO,25
Logan County,8075,Kyle Kopitke,CO,6
Logan County,8075,Mike Smith,CO,6
Logan County,8075,Rocky De La Fuente,CO,5
Logan County,8075,Tom Hoefling,CO,5
Logan County,8075,Frank Atwood,CO,4
Logan County,8075,Joseph Maldonado,CO,4
Logan County,8075,Alyson Kennedy,CO,3
Logan County,8075,Gloria La Riva,CO,2
Logan County,8075,Ryan Scott,CO,2
Logan County,8075,Jim Hedges,CO,1
Logan County,8075,Laurence Kotlikoff,CO,1
Logan County,8075,Rod Silva,CO,1
Logan County,8075,Bradford Lyttle,CO,0
Logan County,8075,Michael Maturen,CO,0
Logan County,8075,Emidio Soltysik,CO,0
Bell County,21013,Donald Trump,KY,7764
Bell County,21013,Hillary Clinton,KY,1720
Bell County,21013,Gary Johnson,KY,144
Bell County,21013,Evan McMullin,KY,44
Bell County,21013,Jill Stein,KY,42
Bell County,21013,Rocky De La Fuente,KY,4
Sumner County,20191,Donald Trump,KS,6984
Sumner County,20191,Hillary Clinton,KS,2076
Sumner County,20191,Gary Johnson,KS,420
Sumner County,20191,Jill Stein,KS,205
Yankton County,46135,Donald Trump,SD,5659
Yankton County,46135,Hillary Clinton,SD,3301
Yankton County,46135,Gary Johnson,SD,552
Yankton County,46135,Darrell Castle,SD,111
Brooke County,54009,Donald Trump,WV,6625
Brooke County,54009,Hillary Clinton,WV,2568
Brooke County,54009,Gary Johnson,WV,297
Brooke County,54009,Jill Stein,WV,99
Brooke County,54009,Darrell Castle,WV,24
Wayne County,28153,Donald Trump,MS,5990
Wayne County,28153,Hillary Clinton,MS,3524
Wayne County,28153,Gary Johnson,MS,46
Wayne County,28153,Darrell Castle,MS,20
Wayne County,28153,Jim Hedges,MS,9
Wayne County,28153,Rocky De La Fuente,MS,7
Wayne County,28153,Jill Stein,MS,3
Sunflower County,28133,Hillary Clinton,MS,6725
Sunflower County,28133,Donald Trump,MS,2794
Sunflower County,28133,Gary Johnson,MS,27
Sunflower County,28133,Jill Stein,MS,20
Sunflower County,28133,Darrell Castle,MS,16
Sunflower County,28133,Rocky De La Fuente,MS,9
Sunflower County,28133,Jim Hedges,MS,7
Richland Parish,22083,Donald Trump,LA,6287
Richland Parish,22083,Hillary Clinton,LA,3157
Richland Parish,22083,Gary Johnson,LA,67
Richland Parish,22083,Jill Stein,LA,35
Richland Parish,22083,Evan McMullin,LA,20
Richland Parish,22083,Darrell Castle,LA,12
Richland Parish,22083,Laurence Kotlikoff,LA,5
Richland Parish,22083,Tom Hoefling,LA,4
Richland Parish,22083,Chris Keniston,LA,4
Richland Parish,22083,Alyson Kennedy,LA,3
Richland Parish,22083,Princess Jacob,LA,2
Richland Parish,22083,Jerry White,LA,1
Richland Parish,22083,Gloria La Riva,LA,0
Benton County,29015,Donald Trump,MO,7213
Benton County,29015,Hillary Clinton,MO,2025
Benton County,29015,Gary Johnson,MO,278
Benton County,29015,Jill Stein,MO,41
Benton County,29015,Darrell Castle,MO,32
Waseca County,27161,Donald Trump,MN,5967
Waseca County,27161,Hillary Clinton,MN,2838
Waseca County,27161,Gary Johnson,MN,387
Waseca County,27161,Evan McMullin,MN,184
Waseca County,27161,Jill Stein,MN,106
Waseca County,27161,Dan Vacek,MN,45
Waseca County,27161,Darrell Castle,MN,38
Waseca County,27161,Rocky De La Fuente,MN,7
Waseca County,27161,Alyson Kennedy,MN,7
Johnson County,21115,Donald Trump,KY,8043
Johnson County,21115,Hillary Clinton,KY,1250
Johnson County,21115,Gary Johnson,KY,163
Johnson County,21115,Jill Stein,KY,60
Johnson County,21115,Evan McMullin,KY,44
Johnson County,21115,Rocky De La Fuente,KY,12
Lincoln County,21137,Donald Trump,KY,7338
Lincoln County,21137,Hillary Clinton,KY,1865
Lincoln County,21137,Gary Johnson,KY,226
Lincoln County,21137,Evan McMullin,KY,82
Lincoln County,21137,Jill Stein,KY,44
Lincoln County,21137,Rocky De La Fuente,KY,6
Grant County,21081,Donald Trump,KY,7268
Grant County,21081,Hillary Clinton,KY,1910
Grant County,21081,Gary Johnson,KY,226
Grant County,21081,Evan McMullin,KY,76
Grant County,21081,Jill Stein,KY,71
Grant County,21081,Rocky De La Fuente,KY,5
LaGrange County,18087,Donald Trump,IN,7025
LaGrange County,18087,Hillary Clinton,IN,2080
LaGrange County,18087,Gary Johnson,IN,447
Fayette County,17051,Donald Trump,IL,7372
Fayette County,17051,Hillary Clinton,IL,1819
Fayette County,17051,Gary Johnson,IL,283
Fayette County,17051,Jill Stein,IL,57
Fayette County,18041,Donald Trump,IN,6839
Fayette County,18041,Hillary Clinton,IN,2252
Fayette County,18041,Gary Johnson,IN,439
Grimes County,48185,Donald Trump,TX,7065
Grimes County,48185,Hillary Clinton,TX,2194
Grimes County,48185,Gary Johnson,TX,219
Grimes County,48185,Jill Stein,TX,50
Spencer County,21215,Donald Trump,KY,7196
Spencer County,21215,Hillary Clinton,KY,1921
Spencer County,21215,Gary Johnson,KY,237
Spencer County,21215,Evan McMullin,KY,111
Spencer County,21215,Jill Stein,KY,44
Spencer County,21215,Rocky De La Fuente,KY,4
Mingo County,54059,Donald Trump,WV,7911
Mingo County,54059,Hillary Clinton,WV,1370
Mingo County,54059,Gary Johnson,WV,145
Mingo County,54059,Darrell Castle,WV,52
Mingo County,54059,Jill Stein,WV,32
Greene County,51079,Donald Trump,VA,5945
Greene County,51079,Hillary Clinton,VA,2924
Greene County,51079,Gary Johnson,VA,406
Greene County,51079,Evan McMullin,VA,167
Greene County,51079,Jill Stein,VA,66
Plumas County,6063,Donald Trump,CA,5420
Plumas County,6063,Hillary Clinton,CA,3459
Plumas County,6063,Gary Johnson,CA,411
Plumas County,6063,Jill Stein,CA,186
Plumas County,6063,Gloria La Riva,CA,29
Pickens County,1107,Donald Trump,AL,5456
Pickens County,1107,Hillary Clinton,AL,3972
Pickens County,1107,Gary Johnson,AL,49
Pickens County,1107,Jill Stein,AL,19
Bayfield County,55007,Hillary Clinton,WI,4953
Bayfield County,55007,Donald Trump,WI,4124
Bayfield County,55007,Gary Johnson,WI,197
Bayfield County,55007,Jill Stein,WI,185
Bayfield County,55007,Darrell Castle,WI,24
Bayfield County,55007,Rocky De La Fuente,WI,6
Bayfield County,55007,Monica Moorehead,WI,4
Nicholas County,54067,Donald Trump,WV,7251
Nicholas County,54067,Hillary Clinton,WV,1840
Nicholas County,54067,Gary Johnson,WV,283
Nicholas County,54067,Jill Stein,WV,83
Nicholas County,54067,Darrell Castle,WV,34
Kleberg County,48273,Hillary Clinton,TX,4716
Kleberg County,48273,Donald Trump,TX,4367
Kleberg County,48273,Gary Johnson,TX,314
Kleberg County,48273,Jill Stein,TX,92
Barnwell County,45011,Donald Trump,SC,4889
Barnwell County,45011,Hillary Clinton,SC,4400
Barnwell County,45011,Gary Johnson,SC,87
Barnwell County,45011,Evan McMullin,SC,43
Barnwell County,45011,Jill Stein,SC,35
Barnwell County,45011,Darrell Castle,SC,24
Barnwell County,45011,Peter Skewes,SC,7
Butts County,13035,Donald Trump,GA,6717
Butts County,13035,Hillary Clinton,GA,2566
Butts County,13035,Gary Johnson,GA,194
Putnam County,13237,Donald Trump,GA,6544
Putnam County,13237,Hillary Clinton,GA,2758
Putnam County,13237,Gary Johnson,GA,170
Morgan County,13211,Donald Trump,GA,6559
Morgan County,13211,Hillary Clinton,GA,2663
Morgan County,13211,Gary Johnson,GA,218
Nodaway County,29147,Donald Trump,MO,6380
Nodaway County,29147,Hillary Clinton,MO,2529
Nodaway County,29147,Gary Johnson,MO,401
Nodaway County,29147,Darrell Castle,MO,69
Nodaway County,29147,Jill Stein,MO,61
Newton County,28101,Donald Trump,MS,6548
Newton County,28101,Hillary Clinton,MS,2756
Newton County,28101,Gary Johnson,MS,67
Newton County,28101,Darrell Castle,MS,31
Newton County,28101,Jill Stein,MS,22
Newton County,28101,Jim Hedges,MS,8
Newton County,28101,Rocky De La Fuente,MS,6
Cedar County,19031,Donald Trump,IA,5295
Cedar County,19031,Hillary Clinton,IA,3599
Cedar County,19031,Gary Johnson,IA,365
Cedar County,19031,Jill Stein,IA,70
Cedar County,19031,Evan McMullin,IA,38
Cedar County,19031,Darrell Castle,IA,35
Cedar County,19031,Dan Vacek,IA,16
Cedar County,19031,Lynn Kahn,IA,10
Cedar County,19031,Rocky De La Fuente,IA,2
Cedar County,19031,Gloria La Riva,IA,0
Gunnison County,8051,Hillary Clinton,CO,5128
Gunnison County,8051,Donald Trump,CO,3289
Gunnison County,8051,Gary Johnson,CO,595
Gunnison County,8051,Jill Stein,CO,249
Gunnison County,8051,Evan McMullin,CO,66
Gunnison County,8051,Darrell Castle,CO,48
Gunnison County,8051,Chris Keniston,CO,9
Gunnison County,8051,Rocky De La Fuente,CO,6
Gunnison County,8051,Mike Smith,CO,5
Gunnison County,8051,Alyson Kennedy,CO,3
Gunnison County,8051,Kyle Kopitke,CO,2
Gunnison County,8051,Bradford Lyttle,CO,2
Gunnison County,8051,Michael Maturen,CO,2
Gunnison County,8051,Ryan Scott,CO,2
Gunnison County,8051,Rod Silva,CO,2
Gunnison County,8051,Emidio Soltysik,CO,2
Gunnison County,8051,Gloria La Riva,CO,1
Gunnison County,8051,Joseph Maldonado,CO,1
Gunnison County,8051,Frank Atwood,CO,0
Gunnison County,8051,Jim Hedges,CO,0
Gunnison County,8051,Tom Hoefling,CO,0
Gunnison County,8051,Laurence Kotlikoff,CO,0
Taylor County,55119,Donald Trump,WI,6579
Taylor County,55119,Hillary Clinton,WI,2393
Taylor County,55119,Gary Johnson,WI,295
Taylor County,55119,Jill Stein,WI,67
Taylor County,55119,Darrell Castle,WI,47
Taylor County,55119,Rocky De La Fuente,WI,10
Taylor County,55119,Monica Moorehead,WI,9
Glenn County,6021,Donald Trump,CA,5788
Glenn County,6021,Hillary Clinton,CA,3065
Glenn County,6021,Gary Johnson,CA,375
Glenn County,6021,Jill Stein,CA,97
Glenn County,6021,Gloria La Riva,CA,54
Del Norte County,6015,Donald Trump,CA,5134
Del Norte County,6015,Hillary Clinton,CA,3485
Del Norte County,6015,Gary Johnson,CA,416
Del Norte County,6015,Jill Stein,CA,245
Del Norte County,6015,Gloria La Riva,CA,81
Lee County,51105,Donald Trump,VA,7543
Lee County,51105,Hillary Clinton,VA,1627
Lee County,51105,Gary Johnson,VA,106
Lee County,51105,Evan McMullin,VA,45
Lee County,51105,Jill Stein,VA,33
Burke County,13033,Hillary Clinton,GA,4731
Burke County,13033,Donald Trump,GA,4491
Burke County,13033,Gary Johnson,GA,129
Caddo County,40015,Donald Trump,OK,6482
Caddo County,40015,Hillary Clinton,OK,2420
Caddo County,40015,Gary Johnson,OK,446
Titus County,48449,Donald Trump,TX,6511
Titus County,48449,Hillary Clinton,TX,2597
Titus County,48449,Gary Johnson,TX,191
Titus County,48449,Jill Stein,TX,44
Green Lake County,55047,Donald Trump,WI,6216
Green Lake County,55047,Hillary Clinton,WI,2693
Green Lake County,55047,Gary Johnson,WI,276
Green Lake County,55047,Jill Stein,WI,75
Green Lake County,55047,Darrell Castle,WI,48
Green Lake County,55047,Monica Moorehead,WI,8
Green Lake County,55047,Rocky De La Fuente,WI,1
Henry County,19087,Donald Trump,IA,5779
Henry County,19087,Hillary Clinton,IA,2904
Henry County,19087,Gary Johnson,IA,337
Henry County,19087,Jill Stein,IA,113
Henry County,19087,Evan McMullin,IA,100
Henry County,19087,Darrell Castle,IA,40
Henry County,19087,Dan Vacek,IA,15
Henry County,19087,Lynn Kahn,IA,14
Henry County,19087,Rocky De La Fuente,IA,4
Henry County,19087,Gloria La Riva,IA,4
Park County,30067,Donald Trump,MT,4980
Park County,30067,Hillary Clinton,MT,3595
Park County,30067,Gary Johnson,MT,500
Park County,30067,Jill Stein,MT,200
Park County,30067,Rocky De La Fuente,MT,31
Bertie County,37015,Hillary Clinton,NC,5778
Bertie County,37015,Donald Trump,NC,3456
Bertie County,37015,Gary Johnson,NC,70
Taylor County,12123,Donald Trump,FL,6930
Taylor County,12123,Hillary Clinton,FL,2152
Taylor County,12123,Gary Johnson,FL,151
Taylor County,12123,Jill Stein,FL,33
Taylor County,12123,Darrell Castle,FL,20
Taylor County,12123,Rocky De La Fuente,FL,4
Lincoln County,30053,Donald Trump,MT,6729
Lincoln County,30053,Hillary Clinton,MT,2041
Lincoln County,30053,Gary Johnson,MT,396
Lincoln County,30053,Jill Stein,MT,96
Lincoln County,30053,Rocky De La Fuente,MT,22
Washington County,29221,Donald Trump,MO,7048
Washington County,29221,Hillary Clinton,MO,1926
Washington County,29221,Gary Johnson,MO,197
Washington County,29221,Jill Stein,MO,60
Washington County,29221,Darrell Castle,MO,49
McDuffie County,13189,Donald Trump,GA,5432
McDuffie County,13189,Hillary Clinton,GA,3699
McDuffie County,13189,Gary Johnson,GA,137
Hardeman County,47069,Donald Trump,TN,4919
Hardeman County,47069,Hillary Clinton,TN,4185
Hardeman County,47069,Gary Johnson,TN,84
Hardeman County,47069,Jill Stein,TN,30
Hardeman County,47069,Rocky De La Fuente,TN,18
Hardeman County,47069,Mike Smith,TN,13
Hardeman County,47069,Alyson Kennedy,TN,11
Saline County,29195,Donald Trump,MO,5977
Saline County,29195,Hillary Clinton,MO,2789
Saline County,29195,Gary Johnson,MO,383
Saline County,29195,Jill Stein,MO,69
Saline County,29195,Darrell Castle,MO,29
Allen Parish,22003,Donald Trump,LA,6867
Allen Parish,22003,Hillary Clinton,LA,2106
Allen Parish,22003,Gary Johnson,LA,102
Allen Parish,22003,Jill Stein,LA,50
Allen Parish,22003,Evan McMullin,LA,45
Allen Parish,22003,Darrell Castle,LA,26
Allen Parish,22003,Chris Keniston,LA,15
Allen Parish,22003,Laurence Kotlikoff,LA,12
Allen Parish,22003,Tom Hoefling,LA,8
Allen Parish,22003,Princess Jacob,LA,6
Allen Parish,22003,Alyson Kennedy,LA,4
Allen Parish,22003,Gloria La Riva,LA,3
Allen Parish,22003,Jerry White,LA,1
Tippah County,28139,Donald Trump,MS,7240
Tippah County,28139,Hillary Clinton,MS,1842
Tippah County,28139,Gary Johnson,MS,72
Tippah County,28139,Darrell Castle,MS,45
Tippah County,28139,Jill Stein,MS,22
Tippah County,28139,Rocky De La Fuente,MS,8
Tippah County,28139,Jim Hedges,MS,6
Starke County,18149,Donald Trump,IN,6367
Starke County,18149,Hillary Clinton,IN,2489
Starke County,18149,Gary Johnson,IN,370
Buchanan County,51027,Donald Trump,VA,7296
Buchanan County,51027,Hillary Clinton,VA,1721
Buchanan County,51027,Gary Johnson,VA,122
Buchanan County,51027,Evan McMullin,VA,59
Buchanan County,51027,Jill Stein,VA,24
Upshur County,54097,Donald Trump,WV,7005
Upshur County,54097,Hillary Clinton,WV,1766
Upshur County,54097,Gary Johnson,WV,310
Upshur County,54097,Jill Stein,WV,89
Upshur County,54097,Darrell Castle,WV,48
Grady County,13131,Donald Trump,GA,6053
Grady County,13131,Hillary Clinton,GA,3013
Grady County,13131,Gary Johnson,GA,135
Jackson County,55053,Donald Trump,WI,4906
Jackson County,55053,Hillary Clinton,WI,3818
Jackson County,55053,Gary Johnson,WI,300
Jackson County,55053,Jill Stein,WI,108
Jackson County,55053,Darrell Castle,WI,50
Jackson County,55053,Rocky De La Fuente,WI,13
Jackson County,55053,Monica Moorehead,WI,5
Meriwether County,13199,Donald Trump,GA,5222
Meriwether County,13199,Hillary Clinton,GA,3804
Meriwether County,13199,Gary Johnson,GA,165
Aitkin County,27001,Donald Trump,MN,5516
Aitkin County,27001,Hillary Clinton,MN,3134
Aitkin County,27001,Gary Johnson,MN,263
Aitkin County,27001,Evan McMullin,MN,124
Aitkin County,27001,Jill Stein,MN,67
Aitkin County,27001,Dan Vacek,MN,50
Aitkin County,27001,Darrell Castle,MN,22
Aitkin County,27001,Alyson Kennedy,MN,6
Aitkin County,27001,Rocky De La Fuente,MN,3
Delaware County,19055,Donald Trump,IA,5694
Delaware County,19055,Hillary Clinton,IA,2957
Delaware County,19055,Gary Johnson,IA,337
Delaware County,19055,Evan McMullin,IA,47
Delaware County,19055,Jill Stein,IA,40
Delaware County,19055,Lynn Kahn,IA,39
Delaware County,19055,Darrell Castle,IA,38
Delaware County,19055,Dan Vacek,IA,18
Delaware County,19055,Gloria La Riva,IA,2
Delaware County,19055,Rocky De La Fuente,IA,0
Franklin Parish,22041,Donald Trump,LA,6514
Franklin Parish,22041,Hillary Clinton,LA,2506
Franklin Parish,22041,Gary Johnson,LA,68
Franklin Parish,22041,Jill Stein,LA,28
Franklin Parish,22041,Evan McMullin,LA,14
Franklin Parish,22041,Darrell Castle,LA,9
Franklin Parish,22041,Chris Keniston,LA,9
Franklin Parish,22041,Tom Hoefling,LA,4
Franklin Parish,22041,Laurence Kotlikoff,LA,4
Franklin Parish,22041,Alyson Kennedy,LA,3
Franklin Parish,22041,Princess Jacob,LA,1
Franklin Parish,22041,Gloria La Riva,LA,1
Franklin Parish,22041,Jerry White,LA,1
Piscataquis County,23021,Donald Trump,ME,5406
Piscataquis County,23021,Hillary Clinton,ME,3098
Piscataquis County,23021,Gary Johnson,ME,464
Piscataquis County,23021,Jill Stein,ME,179
Andrew County,29003,Donald Trump,MO,6665
Andrew County,29003,Hillary Clinton,MO,2045
Andrew County,29003,Gary Johnson,MO,336
Andrew County,29003,Jill Stein,MO,64
Andrew County,29003,Darrell Castle,MO,30
Jefferson County,41031,Donald Trump,OR,5483
Jefferson County,41031,Hillary Clinton,OR,2980
Jefferson County,41031,Gary Johnson,OR,493
Jefferson County,41031,Jill Stein,OR,182
Letcher County,21133,Donald Trump,KY,7293
Letcher County,21133,Hillary Clinton,KY,1542
Letcher County,21133,Gary Johnson,KY,210
Letcher County,21133,Evan McMullin,KY,49
Letcher County,21133,Jill Stein,KY,37
